City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
340,thoen,17.6129,99.2161,25.82,86,100,0.73,TH,1689080072
341,usogorsk,63.4106,48.6872,18.68,43,92,4.92,RU,1689080073
342,las vegas,36.175,-115.1372,31.9,21,0,4.92,US,1689080042
343,paita,-5.0892,-81.1144,22.08,80,0,5.09,PE,1689080074
344,usinsk,65.9939,57.5281,17.49,44,100,3.33,RU,1689080074
345,dornstadt,48.467,9.9443,34.62,48,8,4.07,DE,1689080075
346,bonthe,7.5264,-12.505,26.66,80,95,4.02,SL,1689080075
347,kalmunai,7.4167,81.8167,28.46,73,100,4.07,LK,1689080076
348,tamale,9.4008,-0.8393,31.84,51,100,3.15,GH,1689079852
349,alta,69.9689,23.2717,28.59,30,0,6.17,NO,1689080077
350,olyokminsk,60.3736,120.4264,17.61,90,100,2.11,RU,1689080077
351,loiza,18.4313,-65.8802,31.16,78,40,6.69,PR,1689080078
352,lloydminster,53.2835,-110.0016,11.12,82,40,3.6,CA,1689080078
353,la gi,10.6667,107.7833,28.29,79,100,3.83,VN,1689080079
354,sibu,2.3,111.8167,24.17,100,40,1.54,MY,1689080079
355,onega,63.9061,38.1404,17.96,39,5,3.69,RU,1689080080
356,eraan,9.0629,117.7016,26.4,87,100,1.22,PH,1689080080
357,shakawe,-18.3667,21.85,19.34,15,1,6.31,BW,1689080081
358,praia da vitoria,38.7333,-27.0667,25.14,73,20,2.88,PT,1689080081
359,nelson bay,-32.7167,152.15,11.11,91,14,1.79,AU,1689080082
360,tocopilla,-22.092,-70.1979,18.01,67,7,2.71,CL,1689080082
361,bathsheba,13.2167,-59.5167,27.34,94,40,4.12,BB,1689080083
362,uturoa,-16.7333,-151.4333,26.84,68,59,8.94,PF,1689080083
